case_id,family,seed,context,observed_cue,eval_weight,method,estimated_action,latent_oracle_action,action_disagreement_with_latent_oracle,teleport_action_selected,policy_regret,heldout_long_horizon_value_mse,calibration_error,teleport_q_overestimation,teleport_q_underestimation,exact_safe_q,exact_teleport_q,estimated_safe_q,estimated_teleport_q
cue_sufficient_seed3,cue_sufficient,3,bad,cue_b,1.0,history_mc_plus_trl_log,safe,safe,False,False,0.0,2.465190328815662e-32,1.1102230246251565e-16,0.0,0.0,0.6561000000000001,0.10935,0.6561000000000003,0.10935
cue_sufficient_seed3,cue_sufficient,3,bad,cue_b,1.0,history_model_dp,safe,safe,False,False,0.0,0.0,0.0,0.0,0.0,0.6561000000000001,0.10935,0.6561000000000001,0.10935
cue_sufficient_seed3,cue_sufficient,3,bad,cue_b,1.0,latent_oracle_dp,safe,safe,False,False,0.0,0.0,0.0,0.0,0.0,0.6561000000000001,0.10935,0.6561000000000001,0.10935
cue_sufficient_seed4,cue_sufficient,4,good,cue_g,1.0,observation_empirical_model_dp,safe,teleport,True,False,0.03644999999999987,0.04152110624999999,0.15322499999999994,0.0,0.28755,0.6561000000000001,0.69255,0.675,0.405
cue_sufficient_seed4,cue_sufficient,4,good,cue_g,1.0,observation_trl_log,safe,teleport,True,False,0.03644999999999987,0.04152110624999999,0.15322499999999994,0.0,0.28755,0.6561000000000001,0.69255,0.675,0.405
cue_sufficient_seed4,cue_sufficient,4,good,cue_g,1.0,history_mc_only,safe,teleport,True,False,0.03644999999999987,0.4550463562500001,0.6743250000000001,0.0,0.69255,0.6561000000000001,0.69255,0.0,0.0
cue_sufficient_seed4,cue_sufficient,4,good,cue_g,1.0,history_trl_log,teleport,teleport,False,True,0.0,0.0,0.0,0.0,0.0,0.6561000000000001,0.69255,0.6561000000000001,0.69255
cue_sufficient_seed4,cue_sufficient,4,good,cue_g,1.0,history_mc_plus_trl_log,teleport,teleport,False,True,0.0,8.011868568650901e-32,2.7755575615628914e-16,3.3306690738754696e-16,0.0,0.6561000000000001,0.69255,0.6561000000000003,0.6925500000000003
cue_sufficient_seed4,cue_sufficient,4,good,cue_g,1.0,history_model_dp,teleport,teleport,False,True,0.0,0.0,0.0,0.0,0.0,0.6561000000000001,0.69255,0.6561000000000001,0.69255
cue_sufficient_seed4,cue_sufficient,4,good,cue_g,1.0,latent_oracle_dp,teleport,teleport,False,True,0.0,0.0,0.0,0.0,0.0,0.6561000000000001,0.69255,0.6561000000000001,0.69255
cue_sufficient_seed4,cue_sufficient,4,bad,cue_b,1.0,observation_empirical_model_dp,safe,safe,False,False,0.0,0.043883066250000005,0.15727499999999997,0.29565,0.0,0.6561000000000001,0.10935,0.675,0.405
cue_sufficient_seed4,cue_sufficient,4,bad,cue_b,1.0,observation_trl_log,safe,safe,False,False,0.0,0.043883066250000005,0.15727499999999997,0.29565,0.0,0.6561000000000001,0.10935,0.675,0.405
cue_sufficient_seed4,cue_sufficient,4,bad,cue_b,1.0,history_mc_only,safe,safe,False,False,0.0,0.22121231625000007,0.3827250000000001,0.0,0.10935,0.6561000000000001,0.10935,0.0,0.0
